City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,boguchany,58.3814,97.4531,18.54,61,14,2.04,RU,1719274160
184,sinabang,2.4803,96.3801,26.15,84,100,1.35,ID,1719274162
185,kayangel,8.0823,134.7173,28.8,80,100,6.73,PW,1719274163
186,ulcinj,41.9294,19.2244,22.77,65,2,3.5,ME,1719274164
187,siem reap,13.5,104.0,24.0,98,100,1.62,KH,1719274166
188,leh,34.1667,77.5833,9.62,56,22,1.64,IN,1719274075
189,mamuju,-2.6748,118.8885,25.78,88,88,0.36,ID,1719274032
190,sinop,41.7711,34.8709,16.31,62,0,0.5,TR,1719274170
191,katsuura,35.1333,140.3,24.95,86,75,6.81,JP,1719274171
192,sogndal,61.2283,7.1003,13.88,81,3,1.7,NO,1719274173
193,susuman,62.7833,148.1667,20.71,44,35,4.11,RU,1719274174
194,yerofey pavlovich,53.9667,121.9667,26.08,40,90,1.44,RU,1719274175
195,sidareja,-7.4846,108.7923,24.13,94,88,0.43,ID,1719274177
196,pallasovka,50.05,46.8833,17.19,79,58,2.42,RU,1719274178
197,bamboo flat,11.7,92.7167,27.01,83,99,8.64,IN,1719274180
198,kenai,60.5544,-151.2583,19.45,79,77,6.47,US,1719273967
199,lompoc,34.6391,-120.4579,34.32,58,31,2.68,US,1719273961
200,sitka,57.0531,-135.33,12.44,94,100,1.45,US,1719274184
201,whitehorse,60.7161,-135.0538,23.39,30,56,1.34,CA,1719274185
202,salalah,17.0151,54.0924,28.12,86,100,3.57,OM,1719274186
203,yeraliyev,43.2,51.65,23.03,66,0,2.84,KZ,1719274123
204,st. john's,47.5649,-52.7093,15.71,97,100,1.34,CA,1719274158
205,cabo san lucas,22.8909,-109.9124,32.32,62,8,7.15,MX,1719274191
206,new norfolk,-42.7826,147.0587,8.29,75,91,1.07,AU,1719274192
207,natchez,31.5604,-91.4032,26.25,61,46,1.43,US,1719274193
208,hell-ville,-13.4,48.2667,24.97,70,4,3.57,MG,1719274195
209,richards bay,-28.783,32.0377,17.93,85,0,4.4,ZA,1719274036
210,vilyuchinsk,52.9306,158.4028,12.04,79,33,2.68,RU,1719274199
211,mildura,-34.2,142.15,10.6,69,90,6.39,AU,1719274200
212,morrope,-6.5417,-80.0111,18.02,81,35,6.34,PE,1719274201
213,avarua,-21.2078,-159.775,21.37,67,84,9.24,CK,1719274203
214,kavieng,-2.5744,150.7967,29.61,73,86,5.53,PG,1719274204
215,palmer,42.1584,-72.3287,20.51,81,88,4.29,US,1719274018
216,tofol,5.3248,163.0078,29.09,76,32,6.61,FM,1719274207
217,doboj,44.7347,18.0878,18.14,93,98,1.35,BA,1719274006
218,valparaiso,-33.0393,-71.6273,12.3,81,53,5.41,CL,1719274107
219,solone,48.2081,34.8721,15.33,88,5,3.87,UA,1719274140
220,achacachi,-16.05,-68.6833,6.44,87,1,4.18,BO,1719274214
221,malango,-2.9627,119.9001,21.92,88,39,0.73,ID,1719274215
222,minas de marcona,-15.2119,-75.1103,12.26,85,8,5.96,PE,1719274217
223,bikenibeu village,1.3673,173.1241,28.83,73,65,7.29,KI,1719274218
224,danshui,22.7984,114.4672,29.57,70,87,2.95,CN,1719274219
225,dakhla,23.6848,-15.958,18.77,93,0,8.14,EH,1719274008
226,tolanaro,-25.0319,46.9987,19.38,86,71,4.83,MG,1719274222
227,hilo,19.7297,-155.09,31.27,81,27,0.45,US,1719274224
228,saint-francois,46.4154,3.9054,19.12,97,1,0.96,FR,1719274225
229,port alfred,-33.5906,26.891,15.1,92,78,1.34,ZA,1719274227
230,vila franca do campo,37.7167,-25.4333,18.27,99,91,3.5,PT,1719274228
231,ust-nera,64.5667,143.2,21.09,48,88,2.89,RU,1719274229
232,port moresby,-9.4431,147.1797,27.77,79,57,0.48,PG,1719274231
233,tazovsky,67.4667,78.7,14.42,79,97,4.81,RU,1719274232
234,al kharijah,25.4514,30.5464,30.9,15,1,3.54,EG,1719274233
235,shanwei,22.782,115.3475,28.69,78,93,2.87,CN,1719274182
236,kodiak,57.79,-152.4072,12.46,86,100,2.3,US,1719274236
237,vernon,50.2581,-119.2691,26.27,38,66,1.79,CA,1719274005
238,sao joao da barra,-21.6403,-41.0511,23.85,88,0,7.12,BR,1719274239
239,mar del plata,-38.0023,-57.5575,7.27,76,97,2.24,AR,1719273753
240,kaa-khem,51.6833,94.7333,22.31,51,9,0.49,RU,1719274241
